feature,importance
flat_0103,0.00024506468191898176
flat_0491,0.00024171459359013144
flat_0017,0.00024105710745404553
flat_0105,0.00024080534333050785
flat_0031,0.00023944067393311938
flat_0523,0.00023943103955619257
flat_0044,0.00023931486994546188
flat_0140,0.00023882790282585623
flat_0063,0.00023812079435903057
flat_0573,0.00023799174468282626
flat_0552,0.00023749814804319442
flat_0177,0.00023647495824681444
phase_lag_samples,0.00023647045801293164
flat_0469,0.00023582984029395706
flat_0546,0.0002356463598526458
flat_0056,0.00023531835783492064
flat_0145,0.00023401003825096074
flat_0054,0.0002335961863530917
flat_0435,0.00023301250366066133
flat_0408,0.00023270403834141771
flat_0041,0.0002316001388343903
flat_0028,0.00023034413702533992
flat_0073,0.00022968622242793742
flat_0405,0.00022913433099956666
flat_0122,0.00022888287518948764
flat_0152,0.00022870036546242527
flat_0048,0.0002285899330939897
flat_0068,0.00022732810160269458
flat_0547,0.0002267761891981182
flat_0450,0.00022609326178703277
flat_0154,0.0002258154617605321
flat_0175,0.00022535397250979778
flat_0453,0.00022523542404902328
flat_0023,0.0002252063749465703
flat_0490,0.00022516781382258579
flat_0148,0.0002248427043027859
flat_0051,0.00022453844089926633
flat_0102,0.0002240995738201146
flat_0004,0.00022401288286133801
flat_0488,0.0002232703309267355
flat_0066,0.00022283726648353322
flat_0461,0.000222479005587708
flat_0400,0.0002220621946424767
flat_0190,0.0002217728808802658
flat_0079,0.00022134083016536792
flat_0134,0.0002205755970950599
flat_0551,0.0002205727015178658
flat_0468,0.00022053556099563984
flat_0486,0.00022041517893047816
flat_0100,0.00021996171875268103
flat_0034,0.0002199160276617312
flat_0040,0.0002197454241409914
flat_0538,0.0002194858185419562
flat_0448,0.0002194016179767711
flat_0143,0.00021921778405440214
flat_0452,0.00021915109000258514
flat_0076,0.00021880867933008963
flat_0186,0.00021733881823191953
flat_0077,0.00021675435925607041
flat_0081,0.00021663420574245855
flat_0507,0.00021653432429479962
flat_0467,0.00021647490189599701
flat_0074,0.00021636205741978144
flat_0035,0.00021631547431117168
flat_0033,0.0002159849360654373
flat_0075,0.0002157788612505186
