arm,time_seconds,ax,ay,az,gx,gy,gz,mx,my,mz
arm1,431.987,-0.394775390625,-0.8765869140625,0.3156585693359375,-0.10451921820640564,-0.05908888578414917,0.12826982140541077,51.90769958496094,91.86994934082031,-151.2141571044922
arm1,432.008,-0.3899688720703125,-0.8670654296875,0.3175506591796875,-0.12639975547790527,-0.03081037662923336,0.13566355407238007,51.95674133300781,91.89682006835938,-151.57066345214844
arm1,432.027,-0.3801116943359375,-0.8636322021484375,0.3201904296875,-0.1447337567806244,-0.02298893965780735,0.14651194214820862,51.65226745605469,91.97767639160156,-151.26612854003906
arm1,432.047,-0.382659912109375,-0.8603363037109375,0.324005126953125,-0.16326668858528137,-0.020323913544416428,0.15385960042476654,51.628143310546875,91.86831665039062,-151.43771362304688
arm1,432.067,-0.3785858154296875,-0.8743438720703125,0.3260650634765625,-0.183451846241951,-0.0014937670202925801,0.15823863446712494,51.490997314453125,91.87471008300781,-151.6985321044922
arm1,432.087,-0.36663818359375,-0.884674072265625,0.3431854248046875,-0.2028319388628006,0.008708270266652107,0.15277250111103058,51.425689697265625,91.79682922363281,-151.7851104736328
arm1,432.107,-0.381256103515625,-0.89593505859375,0.341400146484375,-0.22609837353229523,-0.015490543097257614,0.14120718836784363,51.40071105957031,92.01495361328125,-151.71932983398438
arm1,432.127,-0.3729705810546875,-0.8903350830078125,0.351959228515625,-0.2432936131954193,-0.012080631218850613,0.1248876079916954,51.23365783691406,91.87248229980469,-152.0237274169922
arm1,432.147,-0.372528076171875,-0.8936920166015625,0.3551483154296875,-0.2502010464668274,-0.022715965285897255,0.12108594179153442,51.17860412597656,91.76609802246094,-152.264404296875
arm1,432.167,-0.3753814697265625,-0.8813934326171875,0.3516845703125,-0.24537700414657593,-0.01660267822444439,0.1132860779762268,51.111785888671875,91.70431518554688,-152.32977294921875
arm1,432.187,-0.369537353515625,-0.869903564453125,0.3481292724609375,-0.22451433539390564,0.008608401753008366,0.1099371537566185,50.97084045410156,91.75431823730469,-152.21697998046875
arm1,432.207,-0.3692169189453125,-0.8662261962890625,0.34552001953125,-0.1904466450214386,0.033128391951322556,0.11231109499931335,51.0072021484375,91.83358764648438,-152.85520935058594
arm1,432.227,-0.359039306640625,-0.856231689453125,0.3455047607421875,-0.1481894701719284,0.06481042504310608,0.10440443456172943,50.71649169921875,91.90284729003906,-153.09202575683594
arm1,432.247,-0.3644256591796875,-0.8548736572265625,0.3387298583984375,-0.10346247255802155,0.09194696694612503,0.10107921063899994,50.707977294921875,91.65248107910156,-152.80380249023438
arm1,432.266,-0.3516693115234375,-0.8557891845703125,0.3470611572265625,-0.06234566494822502,0.14084260165691376,0.087186299264431,50.67274475097656,91.71022033691406,-152.8157958984375
arm1,432.287,-0.352294921875,-0.8609619140625,0.3482513427734375,-0.03542669862508774,0.15336185693740845,0.07901066541671753,50.612457275390625,91.75880432128906,-152.87063598632812
arm1,432.307,-0.3522491455078125,-0.8591156005859375,0.3524322509765625,-0.017976604402065277,0.15174664556980133,0.07492617517709732,50.541473388671875,91.79789733886719,-152.77743530273438
arm1,432.327,-0.3515625,-0.8532867431640625,0.3531494140625,0.0005515406373888254,0.14691860973834991,0.08076675236225128,50.53941345214844,91.86404418945312,-153.113525390625
arm1,432.347,-0.3471527099609375,-0.853515625,0.3539886474609375,0.020323913544416428,0.14036616683006287,0.09538085013628006,50.54667663574219,91.86753845214844,-152.82034301757812
arm1,432.367,-0.3364410400390625,-0.84259033203125,0.3501739501953125,0.0501188263297081,0.12687112390995026,0.11450660228729248,50.359344482421875,91.7353515625,-153.27146911621094
arm1,432.387,-0.3207550048828125,-0.840576171875,0.3459320068359375,0.0893261507153511,0.09483170509338379,0.14605946838855743,50.357940673828125,91.78855895996094,-152.93319702148438
arm1,432.407,-0.3058319091796875,-0.8453521728515625,0.3399505615234375,0.13164830207824707,0.03507303074002266,0.17240852117538452,50.14952087402344,91.875,-152.88963317871094
arm1,432.427,-0.29473876953125,-0.854339599609375,0.33587646484375,0.16709737479686737,-0.05061523988842964,0.18833476305007935,49.94708251953125,91.83268737792969,-152.39219665527344
arm1,432.447,-0.2921142578125,-0.8809814453125,0.33306884765625,0.1908479779958725,-0.13988865911960602,0.1913318783044815,49.865753173828125,91.84036254882812,-152.42636108398438
arm1,432.467,-0.302093505859375,-0.9045257568359375,0.3292236328125,0.19134199619293213,-0.22886407375335693,0.16987265646457672,49.718353271484375,91.76324462890625,-152.14517211914062
arm1,432.487,-0.3147735595703125,-0.917877197265625,0.32568359375,0.17567355930805206,-0.2722778618335724,0.12936252355575562,49.4716796875,91.85447692871094,-152.28863525390625
arm1,432.507,-0.3282318115234375,-0.9238433837890625,0.3244781494140625,0.14973703026771545,-0.2780345380306244,0.07636135071516037,49.5123291015625,91.97698974609375,-152.31973266601562
arm1,432.527,-0.3367462158203125,-0.913848876953125,0.32281494140625,0.12344790250062943,-0.26712170243263245,0.025887256488204002,49.383819580078125,92.01385498046875,-151.87454223632812
arm1,432.547,-0.3470611572265625,-0.90460205078125,0.3154144287109375,0.10900584608316422,-0.23941124975681305,-0.033783264458179474,49.505523681640625,91.84515380859375,-151.94705200195312
arm1,432.567,-0.3579254150390625,-0.8887939453125,0.30938720703125,0.1113361120223999,-0.17652443051338196,-0.08939751982688904,49.75103759765625,91.88485717773438,-151.61065673828125
arm1,432.587,-0.357635498046875,-0.8826141357421875,0.3005828857421875,0.12104519456624985,-0.10390589386224747,-0.13055375218391418,49.84703063964844,91.94293212890625,-151.80653381347656
